title,company,location,experience,skills,description
"Software Engineer","Tech Solutions Inc","Mumbai","2-4 years","Python;JavaScript;SQL","Develop and maintain software applications for client projects."
"Doctor (General Physician)","City Hospital","Delhi","5+ years","Medical Diagnosis;Patient Care;Prescription","Provide healthcare services to patients in general medicine."
"Marketing Manager","BrandGrow Pvt Ltd","Bangalore","5-8 years","Digital Marketing;SEO;Campaign Management","Plan and execute marketing campaigns to boost brand visibility."
"Data Analyst","Insight Analytics","Hyderabad","1-3 years","Data Analysis;Excel;Power BI","Analyze business data to generate actionable insights."
"Nurse","Global Care Hospital","Chennai","2-5 years","Patient Care;Medical Assistance;Record Keeping","Assist doctors and care for patients in various wards."
"Mechanical Engineer","AutoMotive Pvt Ltd","Pune","3-6 years","AutoCAD;Mechanical Design;Manufacturing","Design and oversee manufacturing processes for automobile components."
"Teacher (Mathematics)","Bright Future School","Kolkata","2-4 years","Mathematics;Classroom Management;Lesson Planning","Teach mathematics to secondary school students."
"Content Writer","Creative Minds Agency","Remote","1-3 years","Content Writing;SEO;Research","Write and edit engaging content for websites and blogs."
"Pharmacist","HealthPlus Pharmacy","Ahmedabad","1-2 years","Pharmaceutical Knowledge;Inventory Management;Customer Service","Dispense medicines and provide healthcare advice to customers."
"HR Executive","TalentLink HR Services","Jaipur","2-4 years","Recruitment;Employee Relations;Payroll","Manage hiring processes and employee engagement activities."
"Electrical Engineer","PowerTech Ltd","Surat","3-5 years","Circuit Design;Maintenance;Electrical Safety","Design and maintain electrical systems for industrial projects."
"Web Developer","CodeWave Solutions","Noida","1-3 years","HTML;CSS;JavaScript;React","Develop responsive websites for clients."
"Graphic Designer","PixelPerfect Studios","Goa","2-4 years","Adobe Photoshop;Illustrator;Creativity","Create designs and branding materials for marketing campaigns."
"Physiotherapist","BodyWell Clinic","Lucknow","2-5 years","Physical Therapy;Rehabilitation;Patient Care","Help patients recover from injuries through therapy sessions."
"Accountant","FinanceFirst Advisors","Nagpur","3-6 years","Tally;GST Filing;Financial Reporting","Manage company accounts and ensure compliance with tax regulations."
"Data Analyst","Insight Analytics","Pune","1-3 years","Excel;Python;Power BI","Analyze business data and create interactive dashboards."
"Nurse","Green Valley Hospital","Chennai","2-5 years","Patient Care;Medical Records;Emergency Handling","Provide nursing care and maintain patient records."
"Mechanical Engineer","Precision Engineering Ltd","Hyderabad","3-6 years","AutoCAD;SolidWorks;Problem-Solving","Design and maintain mechanical systems for manufacturing."
"Teacher (Mathematics)","Bright Minds School","Delhi","2-4 years","Mathematics;Classroom Management;Curriculum Planning","Teach mathematics to secondary school students."
"Graphic Designer","Creative Studio","Kolkata","1-3 years","Adobe Photoshop;Illustrator;Creativity","Design visual materials for branding and marketing."
"Accountant","FinTrust Solutions","Ahmedabad","2-5 years","Tally;GST Filing;Financial Reporting","Prepare and manage financial accounts for clients."
"Sales Executive","Global Traders","Jaipur","1-3 years","Sales;Negotiation;CRM","Promote and sell company products to prospective clients."
"Web Developer","CodeCraft Pvt Ltd","Noida","2-4 years","HTML;CSS;JavaScript;React","Build and maintain responsive websites."
"Content Writer","MediaWorks","Lucknow","1-3 years","Content Creation;SEO Writing;Research","Write and edit engaging content for websites and blogs."
"Electrical Engineer","Bright Energy Systems","Bhopal","3-5 years","Circuit Design;Power Systems;Maintenance","Design and maintain electrical systems."
"HR Manager","TalentBridge HR","Gurgaon","5-8 years","Recruitment;Payroll Management;Employee Relations","Manage recruitment and HR operations."
"Pharmacist","HealthFirst Pharmacy","Surat","2-4 years","Prescription;Inventory Management;Customer Service","Dispense medicines and advise customers on usage."
"Software Tester","QATech Solutions","Bangalore","1-3 years","Manual Testing;Automation;Bug Tracking","Test software applications for quality assurance."
"Architect","Urban Design Studio","Mumbai","4-6 years","AutoCAD;3D Modeling;Project Management","Design and oversee building construction projects."
"Business Analyst","MarketScope Consulting","Chennai","3-5 years","Business Analysis;SQL;Data Visualization","Analyze business processes and suggest improvements."
"Social Media Manager","TrendWave Digital","Delhi","2-4 years","Social Media Marketing;Content Strategy;Analytics","Manage social media presence for clients."
"Civil Engineer","BuildRight Constructions","Hyderabad","3-6 years","Structural Design;Site Supervision;AutoCAD","Oversee construction projects and ensure quality."
"Laboratory Technician","MedLabs Diagnostics","Pune","1-3 years","Lab Testing;Sample Collection;Reporting","Conduct medical laboratory tests and report results."
"Chef","Gourmet Kitchen","Kolkata","3-5 years","Cooking;Menu Planning;Kitchen Management","Prepare and present high-quality meals."
"Customer Support Executive","CallConnect Services","Noida","1-3 years","Communication;Problem-Solving;CRM","Handle customer queries and provide solutions."
"Project Manager","NextGen Projects","Gurgaon","5-8 years","Project Planning;Team Management;Budgeting","Lead project execution and deliver results on time."
"Veterinarian","PetCare Clinic","Mumbai","3-5 years","Animal Care;Diagnosis;Surgery Assistance","Provide healthcare services for pets and animals."
"UI/UX Designer","Pixel Perfect Designs","Bangalore","2-4 years","Figma;Wireframing;User Research","Design user-friendly interfaces for applications."
"Plumber","WaterFix Services","Lucknow","2-4 years","Plumbing;Pipe Installation;Repairs","Install and repair plumbing systems."
"Cybersecurity Analyst","SecureNet Solutions","Hyderabad","2-4 years","Network Security;Penetration Testing;SIEM","Monitor and secure network systems."
"Receptionist","Elite Business Suites","Delhi","1-3 years","Front Desk;Customer Service;Scheduling","Manage reception area and greet visitors."
